#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="3" id="bPopSizes.t:Choi-pt-1_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="3" id="bGroupSizes.t:Choi-pt-1_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Choi-pt-1|2020-04-28=2020-04-28,Choi-pt-1|2020-05-05=2020-05-05,Choi-pt-1|2020-06-24=2020-06-24,Choi-pt-1|2020-06-30=2020-06-30,Choi-pt-1|2020-08-16=2020-08-16,Choi-pt-1|2020-08-18=2020-08-18,Choi-pt-1|2020-08-31=2020-08-31,Choi-pt-1|2020-09-03=2020-09-03,Choi-pt-1|2020-09-09=2020-09-09">
#                        <taxa id="TaxonSet.Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Choi-pt-1_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Choi-pt-1_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Choi-pt-1_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Choi-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Choi-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Choi-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Choi-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Choi-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Choi-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Choi-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Choi-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Choi-pt-1_maskedRefRemMafft" id="treeLikelihood.Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Choi-pt-1_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Choi-pt-1_maskedRefRemMafft" shape="@gammaShape.s:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Choi-pt-1_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Choi-pt-1_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Choi-pt-1_maskedRefRemMafft" kappa="@kappa.s:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Choi-pt-1_maskedRefRemMafft" id="estimatedFreqs.s:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Choi-pt-1_maskedRefRemMafft" id="StrictClock.c:Choi-pt-1_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-93256.93805149395	-93186.71626262713	-70.22178886682025	-93186.71626262713	1.457952335347105	1.0	1.0	2.0	-47.535915074684674	380.0	380.0	380.0	3	3	2	0.25	0.25	0.25	0.25
1000	-45436.15108773694	-45374.29698537204	-61.854102364891986	-45374.29698537204	0.366863945213684	0.2468797396394047	0.5376012553003439	2.269086023523628	-39.69344661017926	812.2954246964412	105.49719641516124	154.32841362606877	1	6	1	0.25	0.25	0.25	0.25
2000	-42562.650207925355	-42514.80842346264	-47.84178446271507	-42514.80842346264	0.366863945213684	0.10866069971552837	0.5376012553003439	2.973298461063575	-25.846213380810024	965.670565788668	12.909878701080041	37.52431237095315	1	6	1	0.25	0.25	0.25	0.25
3000	-41626.128743845526	-41590.86987900507	-35.258864840459495	-41590.86987900507	0.366863945213684	0.019062195191926798	0.5376012553003439	2.363920159439858	-17.581890674074863	387.21622905245425	20.272394668549445	3.064079873227422	1	2	5	0.25	0.25	0.25	0.25
4000	-41481.00753363739	-41461.32565730674	-19.681876330648997	-41461.32565730674	0.366863945213684	0.005014102259547536	0.9813690006830423	2.363920159439858	-0.7990163586508132	759.1584888367514	13.374753113551703	0.2332086402862978	1	1	6	0.25	0.25	0.25	0.25
5000	-41443.85612166226	-41438.74561306572	-5.110508596536679	-41438.74561306572	0.37342724679833883	0.0016152122242988375	0.9813690006830423	2.363920159439858	12.108258920469723	178.2377222770306	38.35231785589896	0.02015236302790524	1	1	6	0.25	0.25	0.25	0.25
6000	-41316.92362985946	-41315.41118964062	-1.5124402188481612	-41315.41118964062	0.37242052369288403	0.0015383843978885173	0.9903214458539505	5.9228141904408895	14.287321998128181	107.83401306765441	9.438904449600958	0.008436075240266183	1	1	6	0.25876529769713713	0.24270719818896294	0.2485275041138999	0.25
7000	-41267.89005924295	-41261.49756629396	-6.392492948985964	-41261.49756629396	0.3752912155529047	0.001983902354041091	0.9903214458539505	5.9228141904408895	8.689985687725695	47.60545338573661	17.75168601015972	0.03374852644689643	1	1	6	0.2639380284973626	0.2375344673887375	0.2485275041138999	0.25
8000	-41158.97025104109	-41159.47285311349	0.502602072395987	-41159.47285311349	0.4092497199020818	0.0011464478855314666	0.9903214458539505	5.9228141904408895	10.830267083084845	4.967417321755422	6.02443796441755	0.04783064907525751	1	1	6	0.26677369886632774	0.2338552681927055	0.24431244754570536	0.2550585853952614
9000	-41084.03211556687	-41086.484939674345	2.452824107470817	-41086.484939674345	0.46605200528788154	9.015095150068082E-4	0.9903214458539505	5.9228141904408895	9.467473894533157	2.588859885056565	1.4871847358113894	0.052889890447548396	1	1	6	0.25902009874133747	0.23020635715384302	0.24431244754570536	0.2664610965591141
10000	-41079.43607753885	-41086.980689762866	7.544612224015327	-41086.980689762866	0.44202051049212987	9.341333204824053E-4	0.9903214458539505	5.9228141904408895	12.52505592869109	1.606221517485121	0.589923402599955	0.05182637225834757	1	1	6	0.25902009874133747	0.23020635715384302	0.24431244754570536	0.2664610965591141
11000	-41084.902252556756	-41091.87647321509	6.974220658328783	-41091.87647321509	0.519745306487906	0.0010744971107276829	0.6915555926864994	5.9228141904408895	8.219340688957676	0.3468199103982654	0.10011919848431587	0.15710611389952236	1	1	6	0.25902009874133747	0.23020635715384302	0.24431244754570536	0.2664610965591141
12000	-41076.35493739546	-41085.3709806486	9.016043253138271	-41085.3709806486	0.453392976127053	9.146869497517999E-4	0.6964380363431416	4.310098541552824	7.628448214677595	0.18108000620700734	0.1110122435993686	0.02748885462879136	3	2	3	0.25902009874133747	0.23020635715384302	0.24431244754570536	0.2664610965591141
13000	-41067.95128297174	-41086.929359311165	18.97807633942392	-41086.929359311165	0.3692650947131748	0.0016517982051425255	0.586022981888297	4.310098541552824	17.353415688161757	0.4502047958008445	0.03263309100046978	0.002099195951424837	3	4	1	0.25902009874133747	0.23020635715384302	0.24431244754570536	0.2664610965591141
14000	-41038.41093339519	-41059.93994388006	21.529010484866753	-41059.93994388006	0.3688894996495852	0.0016851772179500664	0.7857073598930499	5.212705228419771	19.816025396170904	0.2697793887833755	0.049320552733085166	9.551774879872891E-4	2	4	2	0.2619130218155768	0.22731343407960367	0.24431244754570536	0.2664610965591141
15000	-40974.8848753233	-40999.2019526984	24.317077375100475	-40999.2019526984	0.3688894996495852	0.001632689143921417	0.9180489079996084	5.212705228419771	21.675586835212734	0.32175075224866034	0.01248680435159714	0.0015465163514858378	3	3	2	0.2527379034803489	0.22731343407960367	0.23932783044312378	0.28062083199692356
16000	-40978.12663962328	-40998.6177598674	20.491120244116097	-40998.6177598674	0.3688894996495852	0.0017962473650808349	1.382917344531783	5.212705228419771	21.121679532017982	1.4551568563570327	0.008508449936270002	0.0028028905445231208	2	5	1	0.2527379034803489	0.22767463860921983	0.23896662591350762	0.28062083199692356
17000	-40889.59389933184	-40910.342889042826	20.748989710984866	-40910.342889042826	0.37108963318432076	0.0017821591669539695	1.382917344531783	5.212705228419771	19.80258405554995	0.5172601720259653	0.01478482465228299	0.0036345242766066886	2	4	2	0.2527379034803489	0.22767463860921983	0.22853490372203836	0.2910525541883928
