#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Halfmann-pt-1_0|2020-12-27=2020-12-27,Halfmann-pt-1_11|2021-01-07=2021-01-07,Halfmann-pt-1_18|2021-01-14=2021-01-14,Halfmann-pt-1_46|2021-02-11=2021-02-11,Halfmann-pt-1_85|2021-03-22=2021-03-22,Halfmann-pt-1_184|2021-06-29=2021-06-29,Halfmann-pt-1_220|2021-08-04=2021-08-04,Halfmann-pt-1_275|2021-09-28=2021-09-28,Halfmann-pt-1_302|2021-10-25=2021-10-25,Halfmann-pt-1_304|2021-10-27=2021-10-27,Halfmann-pt-1_369|2021-12-31=2021-12-31,Halfmann-pt-1_373|2022-01-04=2022-01-04">
#                        <taxa id="TaxonSet.Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Halfmann-pt-1_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Halfmann-pt-1_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Halfmann-pt-1_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Halfmann-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Halfmann-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Halfmann-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Halfmann-pt-1_maskedRefRemMafft" id="treeLikelihood.Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Halfmann-pt-1_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Halfmann-pt-1_maskedRefRemMafft" shape="@gammaShape.s:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Halfmann-pt-1_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Halfmann-pt-1_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Halfmann-pt-1_maskedRefRemMafft" kappa="@kappa.s:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Halfmann-pt-1_maskedRefRemMafft" id="estimatedFreqs.s:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Halfmann-pt-1_maskedRefRemMafft" id="StrictClock.c:Halfmann-pt-1_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-122889.83990730309	-122794.83730852157	-95.00259878151674	-122794.83730852157	3.343375348033491	1.0	2.0	1.0	-65.37655373666072	380.0	380.0	380.0	380.0	3	3	3	2	0.25	0.25	0.25	0.25
1000	-47881.8343786079	-47801.50351905369	-80.33085955421323	-47801.50351905369	1.1726987177847954	0.14677937658795234	2.0	1.0	-52.43129239008606	103.97723016093023	69.28864880747166	241.86115773366512	450.39473627138244	2	6	1	2	0.25	0.25	0.24972897835745342	0.25027102164254655
2000	-42990.686784542624	-42925.52973478028	-65.15704976234527	-42925.52973478028	1.1726987177847954	0.03711672306987037	2.0	0.9369629992382154	-38.00283616737111	19.762484713668307	20.78339314638857	118.42833332879523	453.104336396449	4	5	1	1	0.256117615598097	0.25	0.24361136275935644	0.25027102164254655
3000	-41538.32394618508	-41482.5845357218	-55.73941046328666	-41482.5845357218	1.0323980960367487	0.0022742460425183614	2.011008787088498	0.9369629992382154	-33.82047693709293	13.689177409150675	15.132209993133621	30.2299294092666	140.5747816812171	4	3	3	1	0.256117615598097	0.25	0.24361136275935644	0.25027102164254655
4000	-41504.8263125416	-41454.85996683376	-49.96634570783574	-41454.85996683376	1.0329688006962627	6.499818377405112E-4	3.02000182661498	0.9369629992382154	-27.946449683868405	13.281850807165622	6.975043110884851	43.03184074165382	54.23797689031008	4	5	1	1	0.256117615598097	0.25	0.24361136275935644	0.25027102164254655
5000	-41332.03931317924	-41301.833534830475	-30.20577834876484	-41301.833534830475	1.037574107812602	7.877252879145648E-4	1.8344354871978394	0.6971651777399871	-12.067267671857758	8.494558978169099	1.6681701264310727	11.883720783759228	12.562293233646155	1	8	1	1	0.2592812778871016	0.23915477383766442	0.24361136275935644	0.2579525855158776
6000	-41322.05664991985	-41302.92018938679	-19.136460533057736	-41302.92018938679	1.037574107812602	0.0010559167112697504	1.8344354871978394	0.5649467824098342	-6.679707080912165	7.516914028554	1.0858512976160457	3.223392616718814	5.458473009145335	1	8	1	1	0.2592812778871016	0.23915477383766442	0.24361136275935644	0.2579525855158776
7000	-41268.2044834747	-41262.49951636651	-5.7049671081901305	-41262.49951636651	1.037574107812602	8.482851615892668E-4	1.8344354871978394	0.3011495185351035	1.9361869534419547	4.336097957380742	0.4556966703659065	0.8825142142839695	1.3034153985919372	1	7	2	1	0.2630891182025079	0.23915477383766442	0.2398035224439501	0.2579525855158776
8000	-41261.46951028715	-41262.13065332927	0.6611430421222264	-41262.13065332927	1.0287701435538634	8.435243991346229E-4	1.8344354871978394	0.3011495185351035	5.340475478910409	2.21687426611168	0.18145289381743512	0.3182335335380861	0.6376597803111224	1	3	2	5	0.2630891182025079	0.23915477383766442	0.2398035224439501	0.2579525855158776
9000	-41265.40980400651	-41266.42648620313	1.0166821966178181	-41266.42648620313	1.0913091011502296	7.85018580244634E-4	1.2050323790253268	0.2648843289942989	6.482431456758594	5.378669241700636	0.23787410669957262	0.43173275465257877	0.30756684464688316	1	4	4	2	0.2630891182025079	0.23676683232896273	0.2421914639526518	0.2579525855158776
10000	-41265.23287208313	-41263.84053283357	-1.3923392495565363	-41263.84053283357	1.063812686307791	7.429257386909024E-4	4.5836972684238395	0.16325210083527772	6.108643557611256	3.10098696315211	0.22680936445545627	0.8135564810969035	0.28655130778903737	1	3	3	4	0.2630891182025079	0.23676683232896273	0.2421914639526518	0.2579525855158776
11000	-41253.514595472596	-41260.032628271125	6.5180327985305855	-41260.032628271125	1.063812686307791	6.842071807471431E-4	4.5836972684238395	0.1567791613534978	9.261404492512836	1.3609461054445093	0.3343215686393063	0.2932598432813021	0.12252271087055527	1	4	2	4	0.2630891182025079	0.23676683232896273	0.2421914639526518	0.2579525855158776
12000	-41233.84560357973	-41243.07633634382	9.230732764086191	-41243.07633634382	1.1257248502631274	6.390003151272432E-4	4.5836972684238395	0.1567791613534978	10.634913226904969	0.4821212581821144	0.5547993589993515	0.2595147694488401	0.07114575371862042	3	1	2	5	0.254666258549105	0.23676683232896273	0.2421914639526518	0.26637544516928047
13000	-41164.994286557885	-41179.47182099331	14.477534435428643	-41179.47182099331	1.1090899346321077	8.09625645608966E-4	4.5836972684238395	0.1567791613534978	13.828744204717998	0.17915303597224694	0.3150646740256986	0.20517167475735215	0.04319985849992506	1	3	4	3	0.254666258549105	0.23676683232896273	0.23663754914716165	0.27192935997477063
14000	-41159.81810739596	-41182.22454057681	22.40643318085513	-41182.22454057681	1.0388939888382938	9.150543033115081E-4	3.0204612663529686	0.1567791613534978	19.931448394745434	0.14167763005524936	0.2378366557240985	0.1301523862250219	0.03577367502819233	4	2	1	4	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
15000	-41156.815284503806	-41178.557719784796	21.742435280988076	-41178.557719784796	1.0572487530267893	0.0011082238219308734	2.3585863808461887	0.1567791613534978	17.884612166011863	0.060220394067446954	0.16386846983373787	0.1080698864388664	0.027160746235839014	3	3	1	4	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
16000	-41152.08465967633	-41172.76641463436	20.68175495802975	-41172.76641463436	1.0572487530267893	7.642415872580014E-4	2.3585863808461887	0.11330132414633189	15.962861104498053	0.044886048707117696	0.1059274925603063	0.12108686633086821	0.02684332163978859	1	6	1	3	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
17000	-41146.608755576366	-41173.358658331956	26.749902755590206	-41173.358658331956	1.0550056793916127	8.312602133569161E-4	2.3585863808461887	0.18625800294488862	21.145020991179592	0.049516600825464954	0.12934183249095837	0.037642598404171675	0.023901421726152432	3	4	1	3	0.254666258549105	0.23405892030312508	0.2393454611729993	0.27192935997477063
