#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Huygens-pt-2_0|2022-01-06=2022-01-06,Huygens-pt-2_118|2022-05-04=2022-05-04,Huygens-pt-2_123|2022-05-09=2022-05-09,Huygens-pt-2_131|2022-05-17=2022-05-17,Huygens-pt-2_139|2022-05-25=2022-05-25,Huygens-pt-2_160|2022-06-15=2022-06-15,Huygens-pt-2_25|2022-01-31=2022-01-31,Huygens-pt-2_32|2022-02-07=2022-02-07,Huygens-pt-2_40|2022-02-15=2022-02-15,Huygens-pt-2_53|2022-02-28=2022-02-28,Huygens-pt-2_62|2022-03-09=2022-03-09,Huygens-pt-2_76|2022-03-23=2022-03-23,Huygens-pt-2_90|2022-04-06=2022-04-06">
#                        <taxa id="TaxonSet.Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Huygens-pt-2_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Huygens-pt-2_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Huygens-pt-2_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Huygens-pt-2_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Huygens-pt-2_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Huygens-pt-2_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Huygens-pt-2_maskedRefRemMafft" id="treeLikelihood.Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Huygens-pt-2_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Huygens-pt-2_maskedRefRemMafft" shape="@gammaShape.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Huygens-pt-2_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Huygens-pt-2_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Huygens-pt-2_maskedRefRemMafft" kappa="@kappa.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Huygens-pt-2_maskedRefRemMafft" id="estimatedFreqs.s:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Huygens-pt-2_maskedRefRemMafft" id="StrictClock.c:Huygens-pt-2_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-92372.18849986183	-92271.25785442034	-100.93064544149259	-92271.25785442034	0.9383835896103586	1.0	1.0	2.0	-71.30460039663657	380.0	380.0	380.0	380.0	3	3	3	3	0.25	0.25	0.25	0.25
1000	-44887.38160091424	-44813.02268836561	-74.35891254863544	-44813.02268836561	0.4484234029713455	0.16419586379462858	0.8917830468203833	2.501474776207159	-48.770081520210816	36.58736533372558	72.6896248217462	200.3040602854261	221.95392832433134	7	3	1	1	0.25	0.25	0.25	0.25
2000	-41818.57599652117	-41766.087264998496	-52.48873152267324	-41766.087264998496	0.4484234029713455	0.032189542788526905	0.8917830468203833	1.8696931633816747	-30.945682045413747	6.756411818933671	20.092074153369232	76.56190226589368	68.51184023915906	7	3	1	1	0.25	0.25	0.25	0.25
3000	-41398.97402598005	-41358.145666360586	-40.828359619464905	-41358.145666360586	0.44346454357011833	0.004527630551927149	0.8917830468203833	1.8696931633816747	-22.471404646250953	3.727066679850309	10.052834065140933	24.16774595690243	58.65658834220901	8	2	1	1	0.25	0.24695051289734202	0.25304948710265796	0.25
4000	-41334.49110594651	-41305.471193490375	-29.019912456132428	-41305.471193490375	0.44754145417352914	0.0011343931607578292	0.8917830468203833	1.8696931633816747	-11.420061359292703	0.7819909651274202	6.512617652784927	5.552733720901932	14.538868071029551	6	3	2	1	0.25	0.24695051289734202	0.25304948710265796	0.25
5000	-41096.2674034015	-41079.16017118616	-17.10723221533842	-41079.16017118616	0.5113062310156006	3.958133189219507E-4	0.8917830468203833	1.9686330507245224	-3.7388070669454314	0.4994881122440397	2.3783382757270393	1.2315512320429851	6.968363762126787	8	1	2	1	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
6000	-41094.50244345311	-41079.47453500159	-15.027908451523949	-41079.47453500159	1.0925221613785208	1.5733634814517943E-4	0.8917830468203833	1.928474408015011	-5.634119601120736	0.4400606998350021	1.0306309490607914	2.399464795448109	6.5543405541398645	6	2	3	1	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
7000	-41089.15622925051	-41077.69575757872	-11.460471671794565	-41077.69575757872	0.810033938552353	3.018024535086704E-4	0.8917830468203833	2.435301214530898	-3.060480840963815	0.3749703484314269	0.6987703622390098	2.177484130051536	4.4302380058198345	6	2	3	1	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
8000	-41078.76942658133	-41075.2902603473	-3.479166234033876	-41075.2902603473	0.6061265316167675	3.721309395296474E-4	0.8917830468203833	2.187232054995987	2.5360678507949825	0.20257722598777786	0.59348595748739	1.7770943365654006	0.7101860558414796	7	1	2	2	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
9000	-41082.64111419353	-41078.30697615344	-4.334138040085495	-41078.30697615344	0.9609638693406767	2.327789408492493E-4	0.8917830468203833	2.4051407648709056	-1.076427648355914	0.5467866719222765	0.5837343677500881	0.28622611085063426	0.5095426445695654	2	5	3	2	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
10000	-41089.832877609784	-41078.04997583447	-11.782901775316954	-41078.04997583447	1.0952662865449512	2.0235798821684336E-4	1.113257870019906	2.4051407648709056	-6.032859580260303	1.9113297337124973	0.5647693211030547	0.4967423194333582	0.7017427128852455	1	7	3	1	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
11000	-41080.76903072626	-41077.98650827488	-2.7825224513830307	-41077.98650827488	1.2957069081165198	2.148184883974052E-4	1.113257870019906	2.4051407648709056	0.44268047094482954	0.7575101895902336	0.20794434944423515	0.3328879997089809	0.47868292277547725	2	7	2	1	0.2540073443656886	0.23755652184485115	0.24904214273696937	0.25939399105249084
12000	-41086.44919287384	-41077.19769161812	-9.25150125572191	-41077.19769161812	0.8538545603027956	2.0029963336300744E-4	1.113257870019906	2.9102557396642452	-2.673869864192454	0.5310084620092849	0.24646412791310682	1.2096457473245925	0.4313397005081526	1	7	3	1	0.2540073443656886	0.23576364241552983	0.25083502216629067	0.25939399105249084
13000	-41036.31063185464	-41032.68310301465	-3.627528839993316	-41032.68310301465	0.6693639228784983	2.133489823761587E-4	1.1972444673639777	2.9102557396642452	-0.5671741887253569	0.4876960759399256	0.2522149128413835	0.27587122577438644	0.590851973937673	2	2	3	5	0.2540073443656886	0.23183644356175334	0.25083502216629067	0.26332118990626735
14000	-41027.192813373105	-41025.989131774215	-1.2036815988884704	-41025.989131774215	1.2804819227298436	1.8702943884895797E-4	1.1972444673639777	2.9102557396642452	4.333616691022837	0.6634865661136088	0.13954260871515586	0.6526587266178545	0.2985093752069909	3	6	1	2	0.2540073443656886	0.23504402289037774	0.24762744283766627	0.26332118990626735
15000	-41033.112022518006	-41025.575208721166	-7.536813796838402	-41025.575208721166	0.8239186471422527	2.1852415479893213E-4	1.534555909874084	2.9102557396642452	-4.0907125071972565	0.8733995835366991	0.3710154057006481	0.4282171362711872	0.09897049517722976	3	3	4	2	0.2540073443656886	0.23504402289037774	0.24762744283766627	0.26332118990626735
16000	-41027.09611727209	-41028.574213703105	1.4780964310111533	-41028.574213703105	0.4838057618672553	3.2122107157690576E-4	1.534555909874084	2.9102557396642452	5.9252936234035	1.4248398955739587	0.43226900111789224	0.1864447216242358	0.33118915028845514	2	2	6	2	0.2540073443656886	0.23504402289037774	0.24762744283766627	0.26332118990626735
17000	-41017.27901607353	-41024.4593623088	7.18034623527212	-41024.4593623088	0.5114172357771374	4.917078327183868E-4	1.534555909874084	2.9102557396642452	9.663905410693726	0.41903822261737983	0.29436872910045336	0.1259935349507192	0.3327141388448957	3	4	3	2	0.2540073443656886	0.23504402289037774	0.24762744283766627	0.26332118990626735
