#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Khatamzas-pt-1_0|2020-05-11=2020-05-11,Khatamzas-pt-1_112|2020-08-31=2020-08-31,Khatamzas-pt-1_122|2020-09-10=2020-09-10,Khatamzas-pt-1_129|2020-09-17=2020-09-17,Khatamzas-pt-1_136|2020-09-24=2020-09-24,Khatamzas-pt-1_147|2020-10-05=2020-10-05,Khatamzas-pt-1_149|2020-10-07=2020-10-07,Khatamzas-pt-1_15|2020-05-26=2020-05-26,Khatamzas-pt-1_22|2020-06-02=2020-06-02,Khatamzas-pt-1_28|2020-06-08=2020-06-08,Khatamzas-pt-1_36|2020-06-16=2020-06-16,Khatamzas-pt-1_45|2020-06-23=2020-06-23,Khatamzas-pt-1_49|2020-06-29=2020-06-29,Khatamzas-pt-1_56|2020-07-06=2020-07-06,Khatamzas-pt-1_57|2020-07-07=2020-07-07,Khatamzas-pt-1_59|2020-07-09=2020-07-09,Khatamzas-pt-1_63|2020-07-13=2020-07-13,Khatamzas-pt-1_66|2020-07-16=2020-07-16,Khatamzas-pt-1_73|2020-07-23=2020-07-23,Khatamzas-pt-1_78|2020-07-28=2020-07-28,Khatamzas-pt-1_92|2020-08-11=2020-08-11">
#                        <taxa id="TaxonSet.Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Khatamzas-pt-1_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Khatamzas-pt-1_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Khatamzas-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Khatamzas-pt-1_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Khatamzas-pt-1_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Khatamzas-pt-1_maskedRefRemMafft" id="treeLikelihood.Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Khatamzas-pt-1_maskedRefRemMafft" useAmbiguities="true">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Khatamzas-pt-1_maskedRefRemMafft" shape="@gammaShape.s:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Khatamzas-pt-1_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Khatamzas-pt-1_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Khatamzas-pt-1_maskedRefRemMafft" kappa="@kappa.s:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Khatamzas-pt-1_maskedRefRemMafft" id="estimatedFreqs.s:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Khatamzas-pt-1_maskedRefRemMafft" id="StrictClock.c:Khatamzas-pt-1_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-119767.43576719733	-119612.97200171748	-154.46376547984437	-119612.97200171748	1.8941647250074753	1.0	1.0	2.0	-118.05934467336844	380.0	310.10900184086006	380.0	380.0	380.0	4	4	4	4	4	0.25	0.25	0.25	0.25
1000	-50783.0552900232	-50655.61586574916	-127.43942427404168	-50655.61586574916	0.5191598393395974	0.19730630959239326	1.0	5.433005500357349	-93.32508519317325	99.95509392944926	68.47789196945723	268.4612672414951	127.74766943064725	148.9853842739301	6	6	1	2	5	0.25	0.24137195891992935	0.25862804108007065	0.25
2000	-42636.139240239296	-42516.36963310813	-119.76960713116499	-42516.36963310813	0.41676934837068225	0.044460766531279186	1.0	4.601030303243839	-88.68171888468363	40.908200639726275	74.33009812013194	127.6864858962196	166.99993761397073	131.8345348136522	4	9	2	4	1	0.25	0.24137195891992935	0.25862804108007065	0.25
3000	-41723.34184522958	-41644.243517024595	-79.0983282049859	-41644.243517024595	0.40712453621032735	0.012380612382105137	1.3512319483567379	4.240142556765857	-53.69217872371762	12.204118008580883	11.230411935951938	20.678049732327068	46.10593666641952	98.28054298473063	6	10	2	1	1	0.25	0.23955379546697148	0.25862804108007065	0.2518181634529579
4000	-41582.907923760475	-41543.7325715378	-39.17535222266985	-41543.7325715378	0.40712453621032735	0.005900893313998524	1.3512319483567379	2.9923116614495817	-17.093297656927493	0.9499414191229526	3.8343856313444102	9.71842534713762	20.031442072877084	67.00406210411796	11	6	1	1	1	0.25	0.23955379546697148	0.25862804108007065	0.2518181634529579
5000	-41511.16958579957	-41492.674728319194	-18.49485748037882	-41492.674728319194	0.4318715721128174	0.0013031739377388097	1.8784461876221172	5.672932658449338	6.248395344462411	0.2634806165159147	1.6893564218094737	6.609810946841871	28.811471722999183	58.32828976356216	14	3	1	1	1	0.25	0.23955379546697148	0.25862804108007065	0.2518181634529579
6000	-41412.1873171079	-41412.46788311703	0.2805660091319684	-41412.46788311703	0.5023739410164452	0.001444593968444724	1.8784461876221172	5.672932658449338	20.44639142549468	0.08295860398023513	0.6068896979652512	1.8849481720867345	7.712640991905116	27.184540348324063	15	1	1	2	1	0.257052458065264	0.23955379546697148	0.25157558301480665	0.2518181634529579
7000	-41341.15084331467	-41359.52320168245	18.37235836778505	-41359.52320168245	0.4945117828662064	0.0015474488980303715	0.9517719294957322	5.672932658449338	31.436766448310678	0.08392750364350039	0.3281092566283222	0.6698836447771941	2.610536315828312	12.333915115436156	16	1	1	1	1	0.2569931496660421	0.23955379546697148	0.24839527989905735	0.2550577749679291
8000	-41218.61429321754	-41240.30807979336	21.693786575815196	-41240.30807979336	0.4926625173718939	0.0013429107250606618	0.9517719294957322	6.589882138220474	35.75762134907855	0.03608708188983188	0.1522244515329256	0.794384104754643	4.354253623121684	9.58167072365804	14	3	1	1	1	0.2569931496660421	0.23955379546697148	0.2386730429097021	0.26478001195728434
9000	-41126.070675518335	-41154.7207742885	28.650098770165396	-41154.7207742885	0.47193697965497333	0.0012098035539512052	0.9517719294957322	6.589882138220474	43.73869527405801	0.015148493030806068	0.07638066789104622	0.335393365652202	3.143789343652579	9.275380766252088	14	1	2	2	1	0.2642875239088017	0.23225942122421184	0.2386730429097021	0.26478001195728434
10000	-41125.8783913213	-41154.692874967266	28.81448364596657	-41154.692874967266	0.4619910744546864	0.0014638457018938177	0.947121344016945	6.589882138220474	37.65325202878648	0.032283220924096835	0.16752904662586934	0.4218211790023714	1.2265514958144486	4.059972064280771	12	3	3	1	1	0.2642875239088017	0.23225942122421184	0.2386730429097021	0.26478001195728434
11000	-41113.68611659655	-41156.398156402676	42.712039806121766	-41156.398156402676	0.4626977972631786	0.0012336087682964872	1.1377319337947553	6.589882138220474	47.403675433187026	0.02594516618757524	0.09592701555694187	0.20356751972218248	0.40154833767099524	1.8612892508884482	14	2	2	1	1	0.2642875239088017	0.23225942122421184	0.2386730429097021	0.26478001195728434
12000	-41121.84890583207	-41160.47509469777	38.626188865704066	-41160.47509469777	0.48360363743980167	0.0014472804083787787	1.1377319337947553	4.63157645769545	39.39732225332315	0.022635164588850322	0.023015459074600755	0.07081021233056932	0.26077783333671073	1.1555764636670443	14	2	1	2	1	0.2642875239088017	0.23225942122421184	0.2386730429097021	0.26478001195728434
13000	-41038.75433093514	-41086.623201375725	47.86887044058942	-41086.623201375725	0.4807845563151812	0.0011691837552262104	1.1377319337947553	5.021389479425024	47.855309626686584	0.019175962210464817	0.03355675958359054	0.07569596952057378	0.16262168545341704	0.8974139938072757	12	4	2	1	1	0.2642875239088017	0.23225942122421184	0.2323329927477861	0.27112006211920037
14000	-40983.24715935954	-41030.49384086468	47.2466815051396	-41030.49384086468	0.4572710493189044	0.0017789308556860148	1.1377319337947553	5.021389479425024	48.060853717467225	0.030512558362314403	0.05939764439278543	0.07783145163592137	0.23518073764731573	1.017109216392462	11	5	2	1	1	0.2642875239088017	0.22717616826324988	0.2323329927477861	0.2762033150801623
15000	-40979.10120204405	-41034.266011007436	55.16480896338974	-41034.266011007436	0.4543475710217292	0.0014141233104195245	1.1377319337947553	5.021389479425024	49.28817835325776	0.026303716817034407	0.04671593316785214	0.04728141623249135	0.05844050678145258	0.1353674972299565	11	3	3	2	1	0.2642875239088017	0.22717616826324988	0.2323329927477861	0.2762033150801623
16000	-40856.63774833357	-40917.78441085287	61.14666251930725	-40917.78441085287	0.45615322199977515	0.001270683912725321	0.7452811875227239	5.862083428107702	54.29705975810901	0.02324393840755738	0.0341562031436708	0.023111656339561658	0.06915471673652086	0.1041665785063764	12	2	3	1	2	0.269512387314207	0.21487715082873016	0.2323329927477861	0.28327746910927676
17000	-40854.765066637854	-40916.73274742823	61.96768079037708	-40916.73274742823	0.4441928667912434	0.0014236463936428525	0.7452811875227239	5.862083428107702	55.26597466940107	0.026149867240857272	0.02715756164560119	0.08278391050923978	0.032728984266072986	0.05813320429700202	11	3	4	1	1	0.2696892999358857	0.21487715082873016	0.23215608012610742	0.28327746910927676
18000	-40866.8885674558	-40915.15376246031	48.265195004513885	-40915.15376246031	0.4600447403111793	0.0011529943508625706	0.7452811875227239	5.862083428107702	41.71839213486638	0.0374756941269782	0.06404112761265686	0.054659600188376796	0.046394354793245884	0.06916164902188524	7	2	4	5	2	0.2696892999358857	0.21487715082873016	0.23215608012610742	0.28327746910927676
