#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="3" id="bPopSizes.t:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="3" id="bGroupSizes.t:Lee-pt-4_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Lee-pt-4_0|2020-04-01=2020-04-01,Lee-pt-4_148|2020-08-27=2020-08-27,Lee-pt-4_175|2020-09-23=2020-09-23,Lee-pt-4_294|2021-01-20=2021-01-20,Lee-pt-4_327|2021-02-22=2021-02-22,Lee-pt-4_331|2021-02-26=2021-02-26,Lee-pt-4_342|2021-03-09=2021-03-09,Lee-pt-4_37|2020-05-08=2020-05-08">
#                        <taxa id="TaxonSet.Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Lee-pt-4_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Lee-pt-4_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Lee-pt-4_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Lee-pt-4_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Lee-pt-4_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Lee-pt-4_maskedRefRemMafft" id="treeLikelihood.Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Lee-pt-4_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Lee-pt-4_maskedRefRemMafft" shape="@gammaShape.s:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Lee-pt-4_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Lee-pt-4_maskedRefRemMafft" kappa="@kappa.s:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Lee-pt-4_maskedRefRemMafft" id="estimatedFreqs.s:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Lee-pt-4_maskedRefRemMafft" id="StrictClock.c:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-93901.5346177038	-93837.31647913314	-64.21813857066881	-93837.31647913314	2.2478612906944506	1.0	1.0	2.0	-41.547163199062695	374.3381716961484	380.0	380.0	3	2	2	0.25	0.25	0.25	0.25
1000	-50331.4911164679	-50279.436692403404	-52.05442406449657	-50279.436692403404	1.0323743084742396	0.213351693168406	1.0	2.0	-32.01619159618972	89.49583053705558	224.73845673358755	58.070136578978946	2	2	3	0.25	0.25	0.25	0.25
2000	-43211.187104535435	-43168.754378682934	-42.43272585249835	-43168.754378682934	0.9833280460194336	0.056820122131193765	1.0	2.0	-24.292436982095975	14.42339768435171	49.97700720831888	127.97446802495257	4	1	2	0.25	0.25	0.25	0.25
3000	-41979.50321460369	-41944.49219287005	-35.011021733640874	-41944.49219287005	0.9369372853275559	0.01750939190909813	0.6549932274148902	3.046586583098139	-14.325094705586501	3.9396845851627056	40.41705621792033	43.25671862712328	5	1	1	0.25	0.25	0.25	0.25
4000	-41648.52233499315	-41618.884464328716	-29.637870664434615	-41618.884464328716	0.9378612594050989	0.0030252830115215985	0.7029236571209797	4.733442732024098	-15.403489255543324	6.866867458228986	8.488852180434522	29.778077322448752	4	2	1	0.25	0.25	0.25	0.25
5000	-41589.98598788758	-41577.30707240662	-12.678915480961754	-41577.30707240662	0.9670235352741277	0.0012977298620084753	0.7029236571209797	9.049793639180896	-3.021233150777398	0.989761511065584	2.876711306578715	3.4649758655869363	5	1	1	0.25	0.25	0.25	0.25
6000	-41584.20273440629	-41578.586818881835	-5.615915524453297	-41578.586818881835	0.9736815797541275	9.245701492878162E-4	0.7029236571209797	15.045606034188603	0.8593015775764393	0.5453657605667782	0.6736396465552532	0.9125624824871623	2	3	2	0.25	0.25	0.25	0.25
7000	-41585.98571249826	-41583.359426909374	-2.6262855888856333	-41583.359426909374	1.0585736579236515	8.872643273586027E-4	0.7029236571209797	15.045606034188603	1.9306456097930071	0.17695081083952635	0.5219651820156661	0.11905209832404082	1	1	5	0.25	0.25	0.25	0.25
8000	-41579.86882777673	-41581.5910112488	1.722183472073013	-41581.5910112488	0.9919112099678028	7.896515291773905E-4	0.7029236571209797	15.045606034188603	5.13486119390712	0.0921551982029337	0.3261833994046482	0.08775707962588405	1	5	1	0.25	0.25	0.25	0.25
9000	-41581.55955926874	-41580.45014984323	-1.1094094255076477	-41580.45014984323	1.0889007985774541	7.68834773217828E-4	1.127963276346866	15.045606034188603	1.799504370845359	0.19446757770486683	0.274886930164645	0.039506913573673086	2	4	1	0.25	0.25	0.25	0.25
10000	-41575.254182611425	-41578.45611010301	3.201927491584394	-41578.45611010301	1.0674925910077615	9.145178218779275E-4	1.127963276346866	15.045606034188603	5.138009163915612	0.0767529064449669	0.1898304148549564	0.06468183762231482	3	3	1	0.25	0.25	0.25	0.25
11000	-41573.87507670532	-41578.20333227894	4.3282555736251	-41578.20333227894	1.0092074673700668	0.0010180932058728963	0.6820902354178462	15.045606034188603	6.694214348034729	0.14899505873281646	0.26587169148839235	0.06428574245411295	5	1	1	0.25	0.24644606579946096	0.253553934200539	0.25
12000	-41558.3505963993	-41564.40336644702	6.052770047718285	-41564.40336644702	0.954744127489445	7.7728361052308E-4	0.6820902354178462	9.345864488584034	7.956705514140621	0.12641511829429142	0.32100505892778725	0.02894917779377016	4	2	1	0.24131946283464967	0.24644606579946096	0.253553934200539	0.25868053716535033
13000	-41555.21896117864	-41562.175820081815	6.956858903177662	-41562.175820081815	0.963408949179745	0.0011346737325065735	0.6820902354178462	9.968154079072866	8.509262750622284	0.1923547467764473	0.27281234959769035	0.018022213508352806	2	3	2	0.24131946283464967	0.24644606579946096	0.253553934200539	0.25868053716535033
14000	-41452.83877843661	-41460.400411550276	7.561633113659577	-41460.400411550276	0.9518036932102506	0.0011648657762352048	0.6820902354178462	7.9735046975031505	7.454039797582894	0.1007836404707538	0.1800214364464612	0.025123321550249107	3	3	1	0.24912497793014385	0.24644606579946096	0.24574841910504483	0.25868053716535033
15000	-41452.64463889657	-41459.83033120873	7.185692312161357	-41459.83033120873	0.9484517531684049	0.0011737915375272209	0.6850826065294945	9.47179826633209	7.130293150512282	0.19391826423275937	0.12152677286266839	0.016044995112576354	3	2	2	0.24912497793014385	0.24644606579946096	0.24574841910504483	0.25868053716535033
16000	-41451.54211744899	-41462.2521234371	10.71000598811504	-41462.2521234371	0.9525572546535894	0.0011156211721112968	0.6850826065294945	9.47179826633209	10.159845933040087	0.09120093734676563	0.1282631544324706	0.04006584403759812	2	3	2	0.24912497793014385	0.24644606579946096	0.24574841910504483	0.25868053716535033
17000	-41449.53738161196	-41459.77031298199	10.23293137003244	-41459.77031298199	0.9373698635788416	0.0011254423897391133	0.4621819697280036	9.47179826633209	9.65099734025327	0.17333670721702857	0.06921504061776165	0.05835472392194403	5	1	1	0.24912497793014385	0.24644606579946096	0.24574841910504483	0.25868053716535033
18000	-41450.76527918437	-41459.45458073233	8.689301547960099	-41459.45458073233	0.9356481952166954	0.0012581368740251495	0.4621819697280036	9.47179826633209	8.489080107936385	0.16435555624874443	0.06639828278308837	0.09083806393316554	5	1	1	0.24912497793014385	0.24644606579946096	0.24574841910504483	0.25868053716535033
