#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="3" id="bPopSizes.t:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="3" id="bGroupSizes.t:Lee-pt-4_maskedRefRemMafft" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.tree.TraitSet" traitname="date" value="Lee-pt-4_0|2020-04-01=2020-04-01,Lee-pt-4_148|2020-08-27=2020-08-27,Lee-pt-4_175|2020-09-23=2020-09-23,Lee-pt-4_294|2021-01-20=2021-01-20,Lee-pt-4_327|2021-02-22=2021-02-22,Lee-pt-4_331|2021-02-26=2021-02-26,Lee-pt-4_342|2021-03-09=2021-03-09,Lee-pt-4_37|2020-05-08=2020-05-08">
#                        <taxa id="TaxonSet.Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Lee-pt-4_maskedRefRemMafft"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Lee-pt-4_maskedRefRemMafft" jeffreys="true" parameter="@bPopSizes.t:Lee-pt-4_maskedRefRemMafft" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter id="clockRate.c:Lee-pt-4_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter id="gammaShape.s:Lee-pt-4_maskedRefRemMafft" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Lee-pt-4_maskedRefRemMafft" name="distribution">
#            <parameter id="kappa.s:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Lee-pt-4_maskedRefRemMafft" id="treeLikelihood.Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Lee-pt-4_maskedRefRemMafft">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Lee-pt-4_maskedRefRemMafft" shape="@gammaShape.s:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Lee-pt-4_maskedRefRemMafft" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Lee-pt-4_maskedRefRemMafft" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Lee-pt-4_maskedRefRemMafft" kappa="@kappa.s:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Lee-pt-4_maskedRefRemMafft" id="estimatedFreqs.s:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Lee-pt-4_maskedRefRemMafft" id="StrictClock.c:Lee-pt-4_maskedRefRemMafft" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	gammaShape	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-112162.49329157002	-112098.19243610739	-64.30085546262383	-112098.19243610739	2.4245270804600714	1.0	1.0	2.0	-41.614981670488255	380.0	380.0	380.0	3	2	2	0.25	0.25	0.25	0.25
1000	-45654.024679869755	-45599.365831560586	-54.658848309170565	-45599.365831560586	0.9386021683666936	0.14961103007855286	1.0	2.0	-34.64845874130516	127.49511608398089	185.7721987753183	142.53549621090445	3	1	3	0.25	0.25	0.25	0.25
2000	-42358.388091437126	-42313.44146696431	-44.94662447281931	-42313.44146696431	0.9396882912756193	0.032296202408692735	1.0	2.0	-27.76189571002558	69.37394923614615	33.51085468189024	61.84193010285619	1	2	4	0.25	0.25	0.25	0.25
3000	-41777.32209409313	-41752.83616983152	-24.48592426161115	-41752.83616983152	0.9389216975127491	0.009447184479790717	0.7446531654498706	2.7239947680638577	-10.233806423314848	69.87361415331439	12.581804517387223	1.9827496565406313	1	1	5	0.25	0.25	0.25	0.25
4000	-41596.298247290135	-41575.62940746547	-20.66883982466365	-41575.62940746547	0.9389216975127491	0.0018180417472925836	0.7446531654498706	5.106770621714749	-6.6470174042755	86.57013811836724	3.1843749394904077	0.8289994424638086	1	2	4	0.24668496240260637	0.25	0.25	0.25331503759739366
5000	-41537.80503573537	-41519.50581543183	-18.299220303542125	-41519.50581543183	0.9496587892556358	9.816697079241645E-4	1.0343981248781418	8.513745821660937	-1.6846158013945454	168.77032652247954	4.753775546233944	0.16713487151526513	1	1	5	0.24668496240260637	0.2466319759389917	0.25	0.256683061658402
6000	-41387.426669071596	-41373.37056627493	-14.056102796666824	-41373.37056627493	0.9795235947612118	9.150322073660437E-4	1.0343981248781418	8.513745821660937	-1.1202187904555658	51.1146590154558	0.941596258076609	0.35237966159258416	1	1	5	0.24668496240260637	0.23717550465080003	0.24913829744997745	0.2670012354966162
7000	-41386.35541729308	-41370.72099971739	-15.63441757569107	-41370.72099971739	1.1489595944929316	7.476715068294341E-4	1.0343981248781418	8.513745821660937	-2.2671981585729535	73.78962934820619	0.19334963732551028	0.32292397020556557	1	4	2	0.24668496240260637	0.23717550465080003	0.24898652950556055	0.2671530034410331
8000	-41391.43266276964	-41379.47331374437	-11.959349025276104	-41379.47331374437	1.270829520552298	8.021650620673116E-4	1.0343981248781418	8.513745821660937	-2.643206562441553	8.728934231137918	0.3460769975779591	0.4391857124671654	1	1	5	0.24668496240260637	0.23717550465080003	0.24898652950556055	0.2671530034410331
9000	-41382.4238167981	-41373.56272516267	-8.861091635428604	-41373.56272516267	1.7263977554767873	4.630276791536983E-4	1.149270468108249	8.461262958581885	-0.2569220378517493	3.8049999187537216	0.14680097097263456	0.4363202284890314	1	3	3	0.24443366685351645	0.23717550465080003	0.24898652950556055	0.269404298990123
10000	-41322.93592565329	-41317.54298940685	-5.39293624644166	-41317.54298940685	1.6286600192202314	5.024753038856363E-4	1.5493329196207108	8.461262958581885	0.3044363504767519	0.7593342358593526	0.23333678657784093	0.5031843912188526	2	1	4	0.2512456820825142	0.23717550465080003	0.24460645388343	0.2669723593832558
11000	-41321.16426708802	-41319.04291087977	-2.121356208246124	-41319.04291087977	1.3484490381216672	6.690453388195571E-4	1.5493329196207108	8.461262958581885	0.9622517048242507	0.2467566737508361	0.26947448899602405	0.2322927530430036	1	3	3	0.2512456820825142	0.23717550465080003	0.24460645388343	0.2669723593832558
12000	-41322.38094221164	-41318.3487493754	-4.032192836237549	-41318.3487493754	1.511820193848654	5.882593851670367E-4	1.5493329196207108	8.461262958581885	0.9106897829955123	0.34975030482578445	0.1139883118816475	0.4160792882736454	1	1	5	0.2512456820825142	0.23717550465080003	0.24460645388343	0.2669723593832558
13000	-41317.32971498228	-41322.19394993863	4.864234956347313	-41322.19394993863	0.957031326026019	9.915732971045527E-4	1.4129261216225157	5.6374530626012245	7.425713480355933	0.14964538644210634	0.40251119657950707	0.05072217175174766	5	1	1	0.2512456820825142	0.23717550465080003	0.24460645388343	0.2669723593832558
14000	-41256.71548552109	-41264.08072538945	7.365239868363308	-41264.08072538945	0.9613644926871053	8.565029397980087E-4	1.4129261216225157	6.6604214785870655	7.832234847342686	0.10348518936015819	0.19064896865833147	0.02106487542509404	1	5	1	0.25655590255216953	0.23717550465080003	0.23929623341377468	0.2669723593832558
15000	-41255.685173881204	-41259.52526977945	3.840095898246153	-41259.52526977945	0.968117523089287	9.38459492062276E-4	2.3719590975340834	6.6604214785870655	6.396162475566217	0.22440381730451997	0.24823627506410628	0.04086557452720915	5	1	1	0.2504533976180017	0.23717550465080003	0.23929623341377468	0.2730748643174236
16000	-41263.11325898049	-41260.07242675314	-3.040832227351741	-41260.07242675314	1.1928230694226185	6.563862753472108E-4	2.3719590975340834	6.6604214785870655	0.7125806100160634	0.4969811117935961	0.2808704711265089	0.053168198394211955	4	1	2	0.2504533976180017	0.23717550465080003	0.23929623341377468	0.2730748643174236
17000	-41264.24947586033	-41259.684660330524	-4.564815529802406	-41259.684660330524	1.2687813300847273	6.984469614179869E-4	2.8922880803103226	6.6604214785870655	1.2491922914493843	0.43431262524448916	0.3925496958528897	0.5203957159488032	1	5	1	0.2504533976180017	0.23717550465080003	0.23929623341377468	0.2730748643174236
